session,initial_movie,picked_movie,genre,rating,timestamp,watch_percentage,position
1,The Dark Knight,batman begins,Action Adventure,7,2024-07-10 22:34:27.052915,70,1
1,The Dark Knight,the dark knight,Action Crime Drama Thriller,9,2024-07-10 22:34:27.057893,90,1
2,Fight Club,the curious case of benjamin button,Drama Fantasy Romance,5,2024-07-10 22:34:28.085882,68,1
3,The Matrix,the matrix revolutions,Action Sci-Fi,4,2024-07-10 22:34:29.119571,49,1
3,The Matrix,the matrix reloaded,Action Sci-Fi,2,2024-07-10 22:34:29.128968,13,1
4,Fight Club,the curious case of benjamin button,Drama Fantasy Romance,10,2024-07-10 22:34:30.151464,98,1
4,Fight Club,legends of the fall,Drama Romance War Western,1,2024-07-10 22:34:30.161547,31,1
5,Pulp Fiction,reservoir dogs,Crime Drama Thriller,8,2024-07-10 22:34:31.183289,82,1
5,Pulp Fiction,desperado,Action Crime Thriller,5,2024-07-10 22:34:31.191897,63,1
5,Pulp Fiction,once upon a time in mexico,Action Crime Thriller,4,2024-07-10 22:34:31.199719,25,1
6,The Matrix,the matrix revolutions,Action Sci-Fi,3,2024-07-10 22:34:32.220174,35,1
6,The Matrix,the matrix reloaded,Action Sci-Fi,1,2024-07-10 22:34:32.227738,16,1
8,The Matrix,the matrix revolutions,Action Sci-Fi,7,2024-07-10 22:34:34.257658,60,1
8,The Matrix,the matrix reloaded,Action Sci-Fi,8,2024-07-10 22:34:34.265887,89,1
9,The Matrix,the matrix revolutions,Action Sci-Fi,8,2024-07-10 22:34:35.286279,100,1
9,The Matrix,the matrix reloaded,Action Sci-Fi,8,2024-07-10 22:34:35.294980,96,1
11,Pulp Fiction,reservoir dogs,Crime Drama Thriller,8,2024-07-10 22:34:37.331613,83,1
11,Pulp Fiction,desperado,Action Crime Thriller,9,2024-07-10 22:34:37.340499,95,1
11,Pulp Fiction,once upon a time in mexico,Action Crime Thriller,4,2024-07-10 22:34:37.348222,40,1
13,The Dark Knight,batman begins,Action Adventure,8,2024-07-10 22:34:39.387376,86,1
13,The Dark Knight,the dark knight,Action Crime Drama Thriller,6,2024-07-10 22:34:39.396773,75,1
14,Pulp Fiction,reservoir dogs,Crime Drama Thriller,8,2024-07-10 22:34:40.422010,80,1
14,Pulp Fiction,desperado,Action Crime Thriller,5,2024-07-10 22:34:40.431993,50,1
14,Pulp Fiction,once upon a time in mexico,Action Crime Thriller,3,2024-07-10 22:34:40.443267,21,1
15,The Matrix,the matrix revolutions,Action Sci-Fi,4,2024-07-10 22:34:41.466157,47,1
15,The Matrix,the matrix reloaded,Action Sci-Fi,8,2024-07-10 22:34:41.475687,92,1
16,Fight Club,the curious case of benjamin button,Drama Fantasy Romance,10,2024-07-10 22:34:42.498548,93,1
16,Fight Club,legends of the fall,Drama Romance War Western,1,2024-07-10 22:34:42.508871,34,1
17,The Matrix,the matrix revolutions,Action Sci-Fi,8,2024-07-10 22:34:43.530858,84,1
